,Title,Genres,Average Rating,Number of Ratings
m3671,Blazing Saddles (1974),Comedy|Western,4.047363717605005,1119
m1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,4.022892819979188,2883
m1394,Raising Arizona (1987),Comedy,4.02092050209205,1434
m3471,Close Encounters of the Third Kind (1977),Drama|Sci-Fi,4.0144727773949,1451
m2194,"Untouchables, The (1987)",Action|Crime|Drama,4.007985803016859,1127
m920,Gone with the Wind (1939),Drama|Romance|War,3.9974048442906573,1156
m1674,Witness (1985),Drama|Romance|Thriller,3.9961759082217974,1046
m1270,Back to the Future (1985),Comedy|Sci-Fi,3.9903213317847466,2583
m1079,"Fish Called Wanda, A (1988)",Comedy,3.971342383107089,1326
m2791,Airplane! (1980),Comedy,3.9711149624494513,1731
m1097,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,3.9651828999559275,2269
m1265,Groundhog Day (1993),Comedy|Romance,3.953028972783143,2278
m1784,As Good As It Gets (1997),Comedy|Drama,3.9501404494382024,1424
m223,Clerks (1994),Comedy,3.946883852691218,1412
m32,Twelve Monkeys (1995),Drama|Sci-Fi,3.945731303772336,1511
m1954,Rocky (1976),Action|Drama,3.9433126660761735,1129
m1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,3.9395973154362416,1341
m2268,"Few Good Men, A (1992)",Crime|Drama,3.93119698397738,1061
m2599,Election (1999),Comedy,3.9303547963206307,1522
m3481,High Fidelity (2000),Comedy,3.928623452294246,1373
m590,Dances with Wolves (1990),Adventure|Drama|Western,3.9152308752584424,1451
